Unnamed: 0,id_cliente,qtd_filhos,idade,tempo_emprego,qt_pessoas_residencia,renda,sexo_F,sexo_M,tipo_renda_Assalariado,tipo_renda_Bolsista,tipo_renda_Empresário,tipo_renda_Pensionista,tipo_renda_Servidor público,educacao_Primário,educacao_Pós graduação,educacao_Secundário,educacao_Superior completo,educacao_Superior incompleto,estado_civil_Casado,estado_civil_Separado,estado_civil_Solteiro,estado_civil_União,estado_civil_Viúvo,tipo_residencia_Aluguel,tipo_residencia_Casa,tipo_residencia_Com os pais,tipo_residencia_Comunitário,tipo_residencia_Estúdio,tipo_residencia_Governamental,posse_de_veiculo_False,posse_de_veiculo_True,posse_de_imovel_False,posse_de_imovel_True,ano,mes,dia
27,10295,0,50,19.30958904109589,2.0,4655.96,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
28,1912,1,42,0.8356164383561644,2.0,5611.78,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,2015,1,1
29,785,1,37,7.528767123287671,3.0,379.52,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
30,2514,0,49,24.301369863013697,1.0,8715.76,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
31,10508,0,28,3.512328767123288,1.0,1055.21,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,2015,1,1
32,6106,1,31,1.8301369863013703,3.0,1998.33,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
34,6539,0,50,1.747945205479452,2.0,8051.62,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
35,15235,0,54,7.958904109589041,1.0,6392.79,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
36,5785,0,51,4.3780821917808215,1.0,2557.77,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2015,1,1
38,2103,0,54,3.0904109589041098,2.0,2083.35,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
39,4457,0,30,3.9287671232876713,2.0,856.31,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,2015,1,1
40,1667,1,45,7.315068493150685,3.0,2963.48,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
42,1044,1,41,9.01917808219178,3.0,4082.3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
43,1851,2,40,6.594520547945206,3.0,3557.34,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
44,13066,0,45,25.356164383561644,1.0,25664.46,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
45,7153,0,47,3.2931506849315078,2.0,699.19,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
46,14973,2,37,17.361643835616437,4.0,8861.49,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
47,66,0,51,17.194520547945206,2.0,22184.17,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
48,557,1,26,5.778082191780823,2.0,2990.66,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
49,6386,2,39,13.0,4.0,10496.35,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,1,1
50,8323,0,36,14.643835616438356,2.0,1334.97,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
51,81,2,30,6.27123287671233,4.0,2749.88,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
52,4985,0,41,6.049315068493152,1.0,7330.85,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,2015,1,1
53,12416,0,45,7.534246575342466,2.0,8542.51,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
56,605,2,37,0.4383561643835616,4.0,2798.9,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
57,4991,0,52,10.720547945205482,1.0,2959.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
58,6932,0,50,0.3753424657534247,2.0,4339.98,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2015,1,1
59,2731,0,34,11.065753424657538,2.0,4738.24,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
60,4311,0,35,0.8383561643835616,2.0,1935.76,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
61,650,0,58,3.024657534246576,2.0,3359.43,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
62,6834,1,41,4.4602739726027405,3.0,3823.38,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
63,11068,1,46,25.19178082191781,3.0,11721.03,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
64,2937,0,53,12.473972602739725,2.0,6030.21,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
65,962,1,31,2.0136986301369864,3.0,3740.97,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,2015,1,1
66,9300,0,46,8.01917808219178,2.0,2622.49,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,1,1
67,5343,0,30,0.7589041095890411,2.0,1555.16,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
68,2527,0,37,3.1178082191780816,2.0,2880.65,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
69,557,1,26,5.778082191780823,2.0,2990.66,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
70,15605,0,42,9.627397260273971,2.0,8651.81,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
72,3433,0,47,23.2027397260274,1.0,3515.35,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
73,13235,0,56,36.865753424657534,2.0,63286.11,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
74,15690,1,38,2.180821917808219,3.0,4058.06,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2015,1,1
75,2850,0,37,1.1369863013698631,2.0,1449.57,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
76,16073,1,26,1.3753424657534246,3.0,2122.16,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,1,1
77,13808,0,45,4.287671232876712,2.0,12707.07,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,1,1
78,6028,0,36,2.2164383561643834,2.0,1210.97,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
79,15266,0,29,4.035616438356166,2.0,17333.66,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2015,1,1
80,10291,0,50,19.30958904109589,2.0,5907.97,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
81,3532,2,42,1.6821917808219178,4.0,905.85,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
82,10326,0,54,4.216438356164384,2.0,1223.06,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2015,1,1
84,8874,0,56,25.394520547945213,1.0,57222.81,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
85,5250,0,43,0.4301369863013699,2.0,2652.35,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2015,1,1
86,4995,1,32,10.63835616438356,3.0,11625.78,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
87,13466,0,27,7.019178082191781,2.0,22464.67,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,1,1
88,10931,1,34,3.602739726027397,3.0,2474.98,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2015,1,1
89,10212,1,46,7.805479452054794,3.0,6260.74,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
90,1407,0,26,3.6821917808219182,2.0,1969.62,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
91,2286,0,53,14.6,1.0,9380.83,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,2015,1,1
92,12159,1,37,0.2657534246575343,3.0,2744.44,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
93,4778,1,37,4.608219178082192,3.0,941.31,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
95,15687,0,53,6.016438356164382,2.0,2165.5,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
96,13500,2,31,13.852054794520548,4.0,9202.55,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2015,1,1
97,4544,0,41,4.178082191780821,2.0,1932.18,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
98,238,0,32,3.1890410958904107,2.0,11587.7,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,1,1
99,13001,1,59,11.6,2.0,4063.18,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2015,1,1
100,9316,1,38,2.0136986301369864,3.0,1831.13,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2015,1,1
101,2453,1,37,14.95890410958904,3.0,11394.5,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
102,16231,0,46,2.5424657534246577,2.0,4670.46,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
103,8470,0,42,1.1315068493150684,2.0,3756.67,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2015,1,1
104,12563,0,46,1.8657534246575345,2.0,4464.82,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,1,1
106,14790,2,40,19.06027397260274,4.0,31763.82,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,1,1
108,14895,0,40,5.717808219178082,2.0,11838.5,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2015,1,1
109,4756,2,31,0.3534246575342465,4.0,1947.06,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
110,4951,1,45,2.7150684931506848,2.0,1150.79,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2015,1,1
111,15650,0,41,0.5452054794520548,2.0,1799.7,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,2015,1,1
112,8584,2,37,15.646575342465756,4.0,3278.0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
113,3417,0,34,2.2575342465753425,2.0,1935.05,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
114,4543,0,41,4.178082191780821,2.0,1360.56,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
116,9345,0,55,6.934246575342466,2.0,967.76,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,1,1
117,12740,0,62,0.2794520547945205,2.0,714.38,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,2015,1,1
118,6490,0,50,14.756164383561645,1.0,7620.51,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,2015,1,1
119,281,0,52,0.2712328767123288,2.0,6772.53,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,1,1
120,4715,2,38,18.86575342465753,4.0,37663.75,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
121,1365,0,32,4.586301369863014,2.0,7705.3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
122,13508,1,44,5.5178082191780815,3.0,5426.32,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2015,1,1
123,9904,0,28,3.095890410958904,2.0,1920.98,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
124,1183,1,49,15.26027397260274,2.0,8912.51,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
125,11805,1,30,2.345205479452055,3.0,7454.7,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
126,5334,2,35,13.186301369863012,4.0,5497.07,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
127,8588,0,39,5.304109589041096,2.0,1369.68,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
128,5776,0,49,11.63013698630137,2.0,757.36,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2015,1,1
129,2555,1,47,0.5561643835616439,3.0,3856.49,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
130,4272,0,60,41.2,1.0,16178.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
131,9246,0,31,5.512328767123288,2.0,11503.65,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
134,12747,0,55,3.032876712328767,2.0,6577.55,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
135,1691,0,56,5.06027397260274,2.0,2462.32,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2015,1,1
137,14210,0,51,0.873972602739726,1.0,2029.38,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
139,10693,1,46,0.3479452054794521,3.0,3478.79,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
140,9703,0,50,11.268493150684929,2.0,1592.11,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
141,11691,0,33,6.076712328767122,1.0,8457.2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2015,1,1
142,2160,1,42,4.424657534246577,2.0,5550.5,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,2015,1,1
143,15447,0,24,6.372602739726028,2.0,6089.4,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,1,1
144,10624,0,57,0.8438356164383561,2.0,6533.86,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
145,2633,2,33,0.726027397260274,4.0,4579.6,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
146,1641,0,50,5.06027397260274,2.0,726.1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
147,15629,0,51,5.5479452054794525,2.0,2385.62,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
148,11053,0,49,9.523287671232875,2.0,9001.2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
149,14550,0,44,8.219178082191782,2.0,7488.01,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,1,1
150,5131,0,45,7.638356164383563,2.0,4909.73,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
151,4499,0,53,4.597260273972604,2.0,1620.37,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,1,1
153,6954,1,31,2.375342465753425,3.0,8104.41,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
154,2550,1,38,15.232876712328768,3.0,8370.15,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
155,6344,0,36,7.249315068493152,2.0,3186.45,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2015,1,1
156,6652,0,54,4.312328767123288,2.0,2378.07,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
157,5339,2,35,13.186301369863012,4.0,5232.15,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
158,7755,0,51,7.104109589041097,1.0,1995.82,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,2015,1,1
159,13770,2,31,7.958904109589041,4.0,3646.91,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
160,11944,0,57,1.326027397260274,2.0,4888.61,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,1,1
162,7165,1,30,1.9616438356164383,3.0,459.13,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,2015,1,1
163,3176,0,56,11.227397260273971,2.0,5975.19,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2015,1,1
164,5601,0,55,22.38630136986301,2.0,4582.5,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2015,1,1
165,13415,0,38,8.186301369863013,1.0,4884.94,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2015,1,1
166,14046,0,31,6.043835616438357,2.0,1630.88,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2015,1,1
168,11867,0,52,2.7452054794520557,1.0,7934.99,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2015,1,1
171,7967,0,51,1.4684931506849317,2.0,1026.82,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,1,1
172,16458,1,44,21.86027397260274,3.0,2864.84,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2015,1,1
173,7577,0,48,21.03013698630137,1.0,6028.89,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
175,7257,0,42,4.046575342465753,2.0,2123.13,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
176,4664,0,24,3.104109589041096,1.0,2715.22,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
177,6744,1,36,13.136986301369864,3.0,3909.95,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2015,1,1
178,12576,0,51,25.54794520547945,2.0,6736.28,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2015,1,1
